"レンダリングサイズ (現在:10%)","Rendering size (Now:10%)"
"3Dビュージェスチャサークル","3 D Burgess Cha circle"
"ジェスチャ境界","Gesture boundary"
"ジェスチャ境界ズーム","Zoom gesture boundary"
"ジェスチャ直線","Gesture lines"
"標準モーダルマップ","Standard modal map"
"アニメーション","Animation"
"アニメーションチャンネル","Animation channel"
"ナイフツールモーダルマップ","Knife modal map"
"UVエディター","UV Editor"
"トランスフォームモーダルマップ","Transform modal map"
"UVスカルプト","UV sculpt"
"ペイントストロークモーダル","Paint stroke modal"
"マスク編集","Mask editing"
"マーカー","Marker"
"タイムライン","Timeline"
"3Dビューフライモーダル","3D view fly modal"
"3Dビューウォークモーダル","3D view walk modal"
"3Dビュー回転モーダル","3D view rotation modal"
"3Dビュー移動モーダル","3D view mobile modal"
"3Dビューズームモーダル","3D views me modal"
"3Dビュードリーモーダル","3D Bewdley modal"
"グラフエディター全般","General graph"
"グラフエディター","Graph Editor"
"画像全般","The general picture"
"画像","Images"
"ノード全般","The General node"
"ノードエディター","Nordeditor"
"ファイルブラウザー","File browser"
"ファイルブラウザーメイン","File browser main"
"ファイルブラウザーボタン","Filebrowser-Botan"
"ドープシート","Dope sheet"
"NLA全般","The NLA General"
"NLAチャンネル","NLA channels"
"NLAエディター","The NLA Editor"
"テキスト全般","General text"
"テキスト","Text"
"シーケンサー共通","Sequencer-common"
"シーケンサー","Sequencer"
"シーケンサープレビュー","Sequencer preview"
"ロジックエディター","Logic Editor"
"コンソール","Console"
"クリップ","Clip"
"クリップエディター","Clip Editor"
"クリップグラフエディター","Clip grapheditor"
"クリップドープシートエディター","Clip deepseateditor"
"有効エリア","Effective area"
"左クリック","Left click"
"ホイールクリック","Click wheel"
"右クリック","Right click"
"マウス4ボタン","4-button mouse"
"マウス5ボタン","5-button mouse"
"マウス6ボタン","Mouse 6 button"
"マウス7ボタン","7 button mouse"
"マウス移動","Mouse movement"
"境界のマウス移動","Mouse moving boundaries"
"ホイールアップ","Wheel up"
"ホイールダウン","Wheel down"
"Aキー","A key"
"Bキー","B key"
"Cキー","C key"
"Dキー","D key"
"Eキー","E key"
"Fキー","F keys"
"Gキー","G key"
"Hキー","H key"
"Iキー","I key"
"Jキー","J key"
"Kキー","K key"
"Lキー","L key"
"Mキー","M key"
"Nキー","N key"
"Oキー","O key"
"Pキー","P key"
"Qキー","Q key"
"Rキー","R key"
"Sキー","S key"
"Tキー","T key"
"Uキー","U key"
"Vキー","V key"
"Wキー","W key"
"Xキー","X key"
"Yキー","Y key"
"Zキー","Z key"
"左CTRL","Left CTRL"
"左ALT","Left ALT"
"左SHIFT","Left SHIFT"
"右ALT","Right ALT"
"右CTRL","Right CTRL"
"右SHIFT","Right SHIFT"
"OSキー","OS key"
"Escキー","ESC key"
"Tabキー","Tab key"
"エンターキー","Enter key"
"Spaceキー","Space key"
"BackSpaceキー","BackSpace key"
"Deleteキー","Delete key"
".(ピリオド)",". (Period)"
",(コンマ)",", (Comma)"
"\\(バックスラッシュ)","C: (backslash)"
"テンキー2","NUMPAD 2"
"テンキー4","NUMPAD 4"
"テンキー6","Numeric keypad 6"
"テンキー8","Numeric keypad 8"
"テンキー1","NUMPAD 1"
"テンキー3","Numeric keypad 3"
"テンキー5","Numeric keypad 5"
"テンキー7","Numeric keypad 7"
"テンキー9","Numeric keypad 9"
"テンキーピリオド","NUMPAD period"
"テンキースラッシュ","NUMPAD slash"
"テンキー＊","Numeric keypad *"
"テンキー0","Numeric keypad 0"
"テンキーマイナス","NUMPAD minus"
"テンキーエンター","Ten key enter"
"テンキー＋","NUMPAD +"
"Pauseキー","Pause key"
"Insertキー","Insert key"
"Homeキー","The home key"
"PageUpキー","PageUp key"
"PageDownキー","Page down key"
"Endキー","End key"
"入力キー","Input keys"
"Shiftを修飾キーに","The SHIFT key is a modifier"
"Ctrlを修飾キーに","CTRL modifier keys to"
"Altを修飾キーに","The ALT key is a modifier"
"ショートカットを登録しました、必要であれば「ユーザー設定の保存」をしてください","Please save user settings, shortcuts, register if you"
"最後に実行したコマンドが見つかりません","Last command not found"
"対応していないタイプのコマンドです","Command type not supported"
"登録出来るコマンドが見つかりませんでした","Could not find command can register"
"割り当ての無いショートカット一覧","Without assigning shortcut list"
"現在の編集モードでの割り当ての無いキーを「情報」エリアに表示します","Displays the key assignments in the current editing mode without information area"
"モードでは、以下の割り当てが空いています","Free mode, assign the following"
"キーコンフィグをXMLでインポート","Import XML in the game"
"キーコンフィグをXML形式で読み込みます","The game reads in XML format"
"リセット","Reset"
"追加","Append"
"モード","Mode"
"XMLファイルの読み込みに失敗しました","Failed to load XML file"
"このファイルはBlenderキーコンフィグXMLファイルではありません","This file is not a Blender game XML file"
"このBlenderキーコンフィグXMLファイルのバージョンには対応していません","Does not correspond to the version of the Blender game XML file"
"BlenderキーコンフィグXMLファイルのバージョンを確認できませんでした","Could not determine the version of the Blender game XML file"
"キーコンフィグをXMLでエクスポート","Export XML in a game"
"キーコンフィグをXML形式で保存します","Game save in XML format"
"展開しているキー割り当てのカテゴリを移動","Move the key assignments that expand the categories"
"展開しているキー割り当てを、他のカテゴリに移動します","Move key assignments that expand into other categories"
"ウィンドウ","Window"
"スクリーン","Screen"
"スクリーン編集","Screen edit"
"2Dビュー","2D view"
"フレーム","Frame"
"ヘッダー","Header"
"2Dビューボタンリスト","2-D view buttons list"
"プロパティエディター","Property editor"
"3Dビュー全般","3D view general"
"グリースペンシル","Grease pencil"
"グリースペンシルストローク編集モード","Grease pencil stroke edit mode"
"面のマスク","Face mask"
"ウェイトペイント頂点選択","Weight painting vertex selection"
"ポーズ","Pose"
"オブジェクトモード","Object mode"
"ペイントカーブ","Paint curves"
"カーブ","Curve"
"画像ペイント","Paint a picture"
"頂点ペイント","Vertex paint"
"ウェイトペイント","Weight paint"
"スカルプト","Sculpt"
"メッシュ","Mesh"
"アーマチュア","Armature"
"メタボール","Metaballs"
"ラティス","Lattice"
"パーティクル","Particle"
"フォント","Font"
"オブジェクト非モーダル","Object non-modal"
"3Dビュー","3D view"
"アウトライナー","Out liner"
"情報","Information"
"3Dビュージェスチャサークル","3 D Burgess Cha circle"
"ジェスチャ境界","Gesture boundary"
"ジェスチャ境界ズーム","Zoom gesture boundary"
"ジェスチャ直線","Gesture lines"
"標準モーダルマップ","Standard modal map"
"アニメーション","Animation"
"アニメーションチャンネル","Animation channel"
"ナイフツールモーダルマップ","Knife modal map"
"UVエディター","UV Editor"
"トランスフォームモーダルマップ","Transform modal map"
"UVスカルプト","UV sculpt"
"ペイントストロークモーダル","Paint stroke modal"
"マスク編集","Mask editing"
"マーカー","Marker"
"タイムライン","Timeline"
"3Dビューフライモーダル","3D view fly modal"
"3Dビューウォークモーダル","3D view walk modal"
"3Dビュー回転モーダル","3D view rotation modal"
"3Dビュー移動モーダル","3D view mobile modal"
"3Dビューズームモーダル","3D views me modal"
"3Dビュードリーモーダル","3D Bewdley modal"
"グラフエディター全般","General graph"
"グラフエディター","Graph Editor"
"画像全般","The general picture"
"画像","Images"
"ノード全般","The General node"
"ノードエディター","Nordeditor"
"ファイルブラウザー","File browser"
"ファイルブラウザーメイン","File browser main"
"ファイルブラウザーボタン","Filebrowser-Botan"
"ドープシート","Dope sheet"
"NLA全般","The NLA General"
"NLAチャンネル","NLA channels"
"NLAエディター","The NLA Editor"
"テキスト全般","General text"
"テキスト","Text"
"シーケンサー共通","Sequencer-common"
"シーケンサー","Sequencer"
"シーケンサープレビュー","Sequencer preview"
"ロジックエディター","Logic Editor"
"コンソール","Console"
"クリップ","Clip"
"クリップエディター","Clip Editor"
"クリップグラフエディター","Clip grapheditor"
"クリップドープシートエディター","Clip deepseateditor"
"移動先カテゴリ","Move to category"
"展開中の割り当てが存在しません","No assignment during deployment."
"1つのみ割り当てを展開した状態で実行してください","Try only one expansion assignments in the"
".blendファイルをこのバージョンに関連付け","the.blend file associated with this version"
".blendファイルをこのBlender実行ファイルに関連付けます (WindowsOSのみ)","(WindowsOS only).blend file associates a Blender run file"
".blendファイルをこの実行ファイルに関連付けました","the executable file associated with a.blend file"
"バックアップをこのバージョンに関連付け","Backup with this version"
".blend1 .blend2 などのバックアップファイルをこのBlender実行ファイルに関連付けます (WindowsOSのみ)","associates with Blender running file backup file, such as.blend1.blend2 (WindowsOS only)"
".blend1～.blendN まで","by.blend1~.blendN"
"バックアップファイルをこの実行ファイルに関連付けました","The executable file associated with a backup file"
"Blender-Scramble-Addonを更新","Update Blender-Scramble-Addon"
"Blender-Scramble-Addonをダウンロード・更新を済ませます","Downloads, updates and check out Blender-Scramble-Addon"
"アドオンを更新しました、Blenderを再起動して下さい","Please restart the Blender updated add-ons"
"更新成功","Update successful"
"アドオンを更新しました、Blenderを再起動して下さい","Please restart the Blender updated add-ons"
"「追加項目のオン/オフ」の表示切り替え","Toggle on/off additional items"
"ScrambleAddonによるメニューの末尾の「追加項目のオン/オフ」ボタンの表示/非表示を切り替えます","Turns on/off additional items button at the end of the menu by ScrambleAddon"
"　ショートカット操作","　Shortcut actions"
"ショートカットに関係する操作のメニューです","Operations related to the shortcut menu."
"最後のコマンドをショートカットに登録","Last command create shortcut"
"クリップボードのコマンドをショートカットに登録","Clipboard command create shortcut"
"　関連付け関係","　Association relationships"
"関連付けに関係する操作のメニューです","Operations involving the associated menu."
"　Scramble Addon","　Scramble Addon"
"Scramble Addonに関係する操作のメニューです","Operations involving the scramble Addon menu."
"選択ボーンをミラーリング","Select bones mirroring."
"選択中のボーンを任意の軸でミラーリングします","Mirrored at any axes selected bone."
"エディトモードで実行してください","Please perform in edit mode"
"アーマチュアオブジェクトではありません","Armature object is not"
"ボーン名をクリップボードにコピー","Copy to Clipboard bone name"
"アクティブボーンの名前をクリップボードにコピーします","Copies the Clipboard the name of active bone"
"オブジェクト名も","Object name"
"ボーン名を正規表現で置換","Replace the bone names in regular expressions"
"(選択中の)ボーン名を正規表現に一致する部分で置換します","In the bone name (of choice) to match regular expression replace"
"非選択も含め全て","Including non-select all"
"置換前(正規表現)","Replacement front (in regular expressions)"
"置換後","Replacement"
"エディトモードで実行してください","Please perform in edit mode"
"アーマチュアオブジェクトではありません","Armature object is not"
"反対位置にあるボーンをリネーム","Bones in the opposite position, rename."
"選択中ボーンのX軸反対側の位置にあるボーンを「○.R ○.L」のように対にします","Bone is located opposite the X axis selection in bone "1.R 1 longs.L ' of so versus the"
"位置のしきい値","At the threshold"
"エディトモードで実行してください","Please perform in edit mode"
"アーマチュアオブジェクトではありません","Armature object is not"
"X軸ミラー編集","X axis mirror edit"
"ボーン名をまとめて設定","Set the bone name"
"選択中のボーンの名前をまとめて設定します","The name of the selected bone sets together"
"ボーン名","Bone name"
"カーブボーンをまとめて設定","Set the curve ban"
"選択中のボーンのカーブボーン設定をします","The selected bone curve born setting"
"セグメント","Segment"
"イーズイン","Ezine"
"イーズアウト","Ease out"
"ロールをまとめて設定","Set the roll"
"選択中のボーンのロールを設定します","Sets the selected bone roll"
"ロール","Roll"
"アクティブのIK設定(回転制限等)をコピー","Copy of active IK settings (rotation limits, etc.)"
"アクティブなボーンのIK設定(回転制限など)を他の選択ボーンにコピーします","Copy selected bone of other active bone IK settings (speed limitations)"
"X軸の設定","Set the X axis"
"Y軸の設定","Y axis settings"
"Z軸の設定","Z axis settings"
"ストレッチの設定","Stretch settings"
"IKのポールターゲットを設定","Paul targeting IK"
"アクティブなボーンのIKのポールターゲットを第二選択ボーンに設定します","Chose the second Paul target of active bone IK bones sets"
"ボーンを二つ選択して実行してください","2 Select the bone and try"
"アクティブボーンにIKコンストレイントがありません","No active born IK constraints"
"IKのチェーンの長さを設定","Set the length of the IK chain"
"アクティブなボーンのIKのチェーンの長さを第二選択ボーンへの長さへと設定します","Second choice of active bone IK chain length to length to the bones and set the"
"ボーンを二つ選択して実行してください","2 Select the bone and try"
"上手くチェーン数を取得出来ませんでした","Could not get the chain well"
"確認無しでボーンを削除","Remove the bones with no confirmation"
"ボーンを確認無しで削除します","Remove the bones with no verification"
"ボーンをそのまま3Dカーソルの位置へ","Bones intact to position the 3D cursor"
"相対的なボーンの尾(根本でも可)の位置をそのままに、ボーンを3Dカーソルの位置へ移動させます","Position of relative born tail (even root), bone, 3 D move cursor position"
"尾を移動","Move the tail"
"メッシュ選択モードの切り替え","Mesh selection mode"
"メッシュ選択モードを頂点→辺→面…と切り替えます","Mesh selection mode → top → side surface. Switch and"
"「頂点」選択モード","Vertex select mode"
"「面」選択モード","Face selection mode"
"「辺」選択モード",""Edge" mode"
"メッシュ選択モード","Mesh selection mode"
"メッシュの選択のパイメニューです","Is a pie menu selection of mesh"
"メッシュ選択モード","Mesh selection mode"
"メッシュの選択のパイメニューです","Is a pie menu selection of mesh"
"頂点","Vertex"
"プロポーショナル編集","Proportional edit"
"プロポーショナル編集のパイメニューです","Is a pie menu proportional edit"
"プロポーショナル編集","Proportional edit"
"プロポーショナル編集のパイメニューです","Is a pie menu proportional edit"
"有効化","Enabling"
"投影(2D)","Projection (2D)"
"接続","Connection"
"プロポーショナル編集のモードを設定","Set the proportional editing modes"
"プロポーショナル編集のモードを設定します","Set the proportional editing modes"
"モード","Mode"
"パイメニュー","Pie menu"
"メッシュ編集に関するパイメニューです","Is a pie on the mesh editing"
"ショートカット登録用","Shortcut for registration"
"ショートカットに登録すると便利そうな機能群です","Looks useful functions is to register the shortcut"
"選択モードと同じ要素を削除","Delete the selection mode and the same element"
"現在のメッシュ選択モードと同じ要素(頂点・辺・面)を削除します","Same mesh selection mode of the current element (vertices, sides and faces) remove"
"隠している部分を削除","Remove the covering"
"隠している状態のメッシュを全て削除します","Delete all are mesh"
"メッシュオブジェクトではありません","Mesh objects are not"
"表示/隠すを反転","Show / hide flip"
"表示状態と非表示状態を反転させます","Flip display and non-display state"
"メッシュオブジェクトがアクティブな状態で実行してください","Running on a mesh object is active"
"頂点のみを隠す","Hide only the top"
"選択状態の頂点のみを隠して固定します","To hide the selected vertices, the fixed"
"メッシュオブジェクトがアクティブな状態で実行してください","Running on a mesh object is active"
"選択しているパーツを隠す","Hide the selected parts"
"1頂点以上を選択しているメッシュパーツを隠します","Hides the mesh part more than 1 vertex is selected"
"非選択部","Non-select Division"
"選択しているパーツを隠す","Hide the selected parts"
"選択していないパーツを隠す","Hide the unselected parts"
"選択頂点の頂点カラーを塗り潰す","Fill the selected vertex vertex color"
"選択中の頂点のアクティブ頂点カラーを指定色で塗り潰します","Active vertex colors for the selected vertices with specified color fills"
"一番上のシェイプを選択","Select the shape on the top of"
"リストの一番上にあるシェイプキーを選択します","Schipke is at the top of the list, select"
"編集ケージへのモディファイア適用を切り替え","Transition modifiers apply to the editing cage"
"編集中のメッシュケージにモディファイアを適用するかを切り替えます","Toggles whether to apply modifiers to total en bloc spondylectomy in the editing"
"ケージの表示/適応を両方オフにしました","Display / adaptation of cage both have been cleared"
"ケージの表示のみオンにしました","Only cage you've turned"
"ケージの表示/適応を両方オンにしました","Show cage / adaptation, both turned"
"ミラーモディファイアを切り替え","Toggle Miller modifier"
"ミラーモディファイアが無ければ追加、有れば削除します","Delete if not Miller modifier added, Yes"
"X軸","The x axis"
"Y軸","Y軸"
"Z軸","Z軸"
"結合","Combination"
"クリッピング","Clipping"
"頂点グループミラー","Vertex group mirror"
"テクスチャUミラー","Texture U mirror"
"テクスチャVミラー","Texture V Miller"
"結合距離","Combined distance"
"一番上に追加","Add at the top"
"選択頂点を平均ウェイトで塗り潰す","Fill the selected vertex in average weighted"
"選択頂点のウェイトの平均で、選択頂点を塗り潰します","Fills the selected vertex, vertices weighted average"
"ミックス強度","Mix strength"
"メッシュオブジェクトではありません","Mesh objects are not"
"X軸ミラー編集","X axis mirror edit"
"別オブジェクトに分離 (拡張)","Separation of different objects (extended)"
"「別オブジェクトに分離」の拡張メニューを呼び出します","Isolate to another object of the call the extended menu"
"選択物 (分離側をアクティブ)","Choice of (active isolated-side)"
"「選択物で分離」した後に分離した側のエディトモードに入ります","After "in the choice of separation" enters edit mode for the separation side"
"選択部を複製/新オブジェクトに","A selection of reproduction and new objects"
"選択部分を複製・分離し新オブジェクトにしてからエディトモードに入ります","Enters edit mode, replication and selection to the new object from"
"クイック・シュリンクラップ","Quick shrink wrap"
"もう1つの選択メッシュに、選択頂点をぺったりとくっつけます","Another one you mesh the selected vertices pettanko was bonds, who"
"最近接表面の点","The closest surface point"
"投影","Projection"
"最近接頂点","Nearest vertex"
"モード","Mode"
"オフセット","Offset"
"メッシュオブジェクトを2つ選択状態で実行して下さい","Mesh objects run in select State 2"
"メッシュオブジェクトを2つ選択状態で実行して下さい","Mesh objects run in select State 2"
"1つ以上は頂点を選択して実行して下さい","One run, select the vertex more than"
"別オブジェクトに分離 (拡張)","Separation of different objects (extended)"
"「別オブジェクトに分離」の拡張メニューです","Isolate to another object of the extended menu."
"選択物","Selection of"
"マテリアルで","In the material"
"構造的に分離したパーツで","In the isolated structural parts"
"オブジェクト名を同じに","To the same object name"
"他の選択オブジェクトにアクティブオブジェクトの名前をリンクします","Name of the active object links to other selected objects"
"レイヤーを同じに","In the same layer"
"他の選択オブジェクトにアクティブオブジェクトのレイヤーをリンクします","The link active object layers to other selected objects"
"オブジェクトの表示設定を同じに","Visibility of objects to the same"
"他の選択オブジェクトにアクティブオブジェクトの表示パネルの設定をコピーします","Copy the settings of the display panel of the active object to other selected objects"
"同タイプのオブジェクトのみ","Only objects of the same type"
"名前","The name"
"座標軸","Coordinate axes"
"ワイヤーフレーム","Wire frame"
"すべての辺を表示","See all sides"
"バウンド","Bound"
"テクスチャ スペース","Texture space"
"レントゲン","X rays"
"透過","Through"
"バウンドのタイプ","Types of bounces"
"最高描画タイプ","Best drawing type"
"オブジェクトカラー","Object color"
"空のUVマップをリンク","Link to UV map of the sky"
"他の選択オブジェクトにアクティブオブジェクトのUVを空にして追加します","Empties the Add UV active objects to other objects"
"アクティブオブジェクトはメッシュである必要があります","Active object must be mesh"
"リンクすべきメッシュオブジェクトがありません","There is no mesh object should be linked"
"アーマチュアの動きをリンク","Link motion of the armature"
"コンストレイントによって、他の選択アーマチュアにアクティブアーマチュアの動きを真似させます","By constraints on other selected armature mimic active armature movement"
"アクティブオブジェクトはアーマチュアである必要があります","Need armature is the active object"
"真似させるアーマチュアオブジェクトがありません","Do not imitate armature object"
"ソフトボディの設定をリンク","Links for soft body"
"アクティブオブジェクトのソフトボディの設定を、他の選択オブジェクトにコピーします","Sets the active object soft copies to other selected objects"
"アクティブオブジェクトがありません","There is no active object"
"アクティブオブジェクトにソフトボディが設定されていません","No active object on soft body"
"2つ以上のオブジェクトを選択して実行して下さい","Select two or more objects, run the"
"クロスの設定をリンク","Links for cross-"
"アクティブオブジェクトのクロスシミュレーション設定を、他の選択オブジェクトにコピーします","Cloth simulation for the active object copies to other selected objects"
"アクティブオブジェクトがありません","There is no active object"
"アクティブオブジェクトにクロスが設定されていません","Active object does not have cross-"
"2つ以上のオブジェクトを選択して実行して下さい","Select two or more objects, run the"
"オブジェクト名","Object name"
"レイヤー","Layer"
"表示設定","Display settings"
"ソフトボディ設定","Soft body set"
"クロス設定","Cross set"
"空UV","Free UV"
"アーマチュアの動き","Movement of the armature"
"コピー","Copy"
"オブジェクトに関するコピーのパイメニューです","Pie of the copy of the object is"
"コピー","Copy"
"オブジェクトに関するコピーのパイメニューです","Pie of the copy of the object is"
"オブジェクト対話モード","Interactive objects"
"オブジェクト対話モードのパイメニューです","Is a pie menu objects in interactive mode"
"オブジェクト対話モード","Interactive objects"
"オブジェクト対話モードのパイメニューです","Is a pie menu objects in interactive mode"
"ポーズ","Pose"
"スカルプト","Sculpt"
"ウェイトペイント","Weight paint"
"オブジェクト","Object"
"パーティクル編集","Particle Editor"
"編集","Edit"
"テクスチャペイント","Texture paint"
"頂点ペイント","Vertex paint"
"オブジェクト対話モードを設定","Sets the interactive mode"
"オブジェクトの対話モードを設定します","Sets the interactive mode of the object"
"対話モード","Interactive mode"
" はその対話モードに入る事が出来ません"," Is able to enter interactive mode"
"アクティブなオブジェクトがありません","There is no active object"
"サブサーフ設定","Save surf set"
"サブサーフのレベルを設定するパイメニューです","Is a pie menu to set the Subsurf levels"
"サブサーフ設定","Save surf set"
"サブサーフのレベルを設定するパイメニューです","Is a pie menu to set the Subsurf levels"
"レベル:2","Level: 2"
"レベル:6","Level: 6"
"レベル:0","Level: 0"
"レベル:4","Level: 4"
"レベル:3","Level: 3"
"レベル:5","Level: 5"
"レベル:1","Level: 1"
"最高描画タイプ","Best drawing type"
"最高描画タイプを設定するパイメニューです","Is a pie menu to set up drawing type"
"最高描画タイプ","Best drawing type"
"最高描画タイプを設定するパイメニューです","Is a pie menu to set up drawing type"
"バウンド","Bound"
"ワイヤーフレーム","Wire frame"
"ソリッド","Solid"
"テクスチャ","Texture"
"最高描画タイプ設定","Setting the maximum drawing type"
"最高描画タイプを設定します","Sets the maximum drawing type"
"描画タイプ","Drawing type"
"確認せずに削除","Delete without confirmation"
"削除する時の確認メッセージを表示せずにオブジェクトを削除します","The delete objects without displaying a confirmation message when you delete"
"全体的に削除","Delete the whole"
"などを削除しました","Such as deleted"
"パイメニュー","Pie menu"
"オブジェクト操作に関するパイメニューです","Is a pie on the object action menu"
"ショートカット登録用","Shortcut for registration"
"ショートカットに登録すると便利そうな機能群です","Looks useful functions is to register the shortcut"
"位置/回転/拡縮を適用","Apply the position / rotation / Pan"
"オブジェクトの位置/回転/拡縮を適用します","Applies to object position / rotation / Pan"
"位置と回転と拡縮","Position and rotation with Pan"
"表示/隠すを反転","Show / hide flip"
"オブジェクトの表示状態と非表示状態を反転させます","Flips the object's view state and non-State"
"特定の種類のオブジェクトのみを隠す","Hide only specific types of objects"
"表示されている特定タイプのオブジェクトを隠します","Hides the object of a specific type are displayed"
"メッシュ","Mesh"
"カーブ","Curve"
"サーフェイス","Surface"
"メタボール","Metaballs"
"テキスト","Text"
"アーマチュア","Armature"
"ラティス","Lattice"
"エンプティ","Empty"
"カメラ","Camera"
"ランプ","Lamp"
"スピーカー","Speakers"
"隠すオブジェクトのタイプ","Hide object type"
"特定の種類のオブジェクト以外を隠す","Non-specific types of objects to hide"
"表示されている特定タイプのオブジェクト以外を隠します","Hides the object non-specific type that is displayed"
"メッシュ","Mesh"
"カーブ","Curve"
"サーフェイス","Surface"
"メタボール","Metaballs"
"テキスト","Text"
"アーマチュア","Armature"
"ラティス","Lattice"
"エンプティ","Empty"
"カメラ","Camera"
"ランプ","Lamp"
"スピーカー","Speakers"
"残すオブジェクトのタイプ","Leave the object type"
"グループで表示/非表示を切り替え","Toggle show / hide groups"
"所属しているグループで表示/非表示を切り替えます","Group show / hide toggles"
"グループで表示/非表示を切り替え","Toggle show / hide groups"
"所属しているグループで表示/非表示を切り替えます","Group show / hide toggles"
"グループ無所属","An independent group"
"グループで表示/非表示を切り替え実行","Show / hide toggle group run"
"所属しているグループで表示/非表示を切り替えます","Group show / hide toggles"
"グループ名","Group name"
"オブジェクト名をクリップボードにコピー","Copy object to Clipboard"
"アクティブなオブジェクトの名前をクリップボードにコピーします","Copies the name of the active object"
"オブジェクト名を正規表現で置換","Replace object names in regular expressions"
"選択中のオブジェクトの名前を正規表現で置換します","Name of the currently selected object in the regular expression replace"
"置換前(正規表現)","Replacement front (in regular expressions)"
"置換後","Replacement"
"オブジェクト名とデータ名を同じにする","To the same object and data names"
"選択中のオブジェクトのオブジェクト名とデータ名を同じにします","The same object and data names for selected objects"
"頂点カラーを一括追加","Bulk add vertex color"
"選択中のメッシュオブジェクト全てに色と名前を指定して頂点カラーを追加します","Specify color and name all selected mesh object, adds a vertex color"
"頂点カラー名","Vertex color names"
"頂点カラー","Vertex color"
"カーブからロープ状のメッシュを作成","Create a mesh of rope-like curve to"
"アクティブなカーブオブジェクトに沿ったロープや蛇のようなメッシュを新規作成します","Creates a mesh like rope along the curve object is active or snake new"
"頂点数","Number of vertices"
"半径","RADIUS"
"分割数","Split number"
"カーブの解像度","Curve resolution"
"ウェイト転送","Weight transfer"
"他の選択中のメッシュからアクティブにウェイトペイントを転送します","From the mesh of the selection in the other active forwarding weight paint"
"ウェイト全削除してから","Weight total remove from"
"頂点のインデックス番号","Index of the vertex"
"最近接頂点","Nearest vertex"
"最近接面","Recently the junction"
"面内の最近接頂点","In-plane nearest vertex"
"方式","Way"
"グリースペンシルにメタボール配置","Grease pencil to metaballs"
"アクティブなグリースペンシルに沿ってメタボールを配置します","The blobby align with active grease pencil"
"密度","Density"
"メタボールサイズ","Metaball size"
"メタボール解像度","Resolution metaball"
"グリースペンシルレイヤーが存在しません","Grespencillayer does not exist"
"頂点にメタボールをフック","Top hook metaballs"
"選択中のメッシュオブジェクトの頂点部分に新規メタボールを張り付かせます","Have made new metaballs to the vertices of the selected mesh object"
"メタボール名","Metaball name"
"サイズ","Size"
"解像度","RES"
"頂点グループを大きさに","Vertex group size"
"スムーズ/フラットを切り替え","Toggle smooth/flat"
"選択中のメッシュオブジェクトのスムーズ/フラット状態を切り替えます","Toggles the selected mesh object smooth / flat state"
"メッシュオブジェクトをアクティブにしてから実行して下さい","Try mesh object to activate it."
"メッシュオブジェクトをフラットにしました","Mesh objects have flat"
"メッシュオブジェクトをスムーズにしました","Mesh objects smoothly."
"選択物のレンダリングを制限","Limit the choice of rendering"
"選択中のオブジェクトをレンダリングしない設定にします","The setting does not render the selected object"
"レンダリングしない","Does not render"
"レンダリングするかを「表示/非表示」に同期","Or to render the "show / hide" to sync"
"現在のレイヤー内のオブジェクトをレンダリングするかどうかを表示/非表示の状態と同期します","Synchronize display / hide status and whether or not to render objects in the current layer"
"全オブジェクト","All objects"
"選択物の選択を制限","Limit the choice of selecting"
"選択中のオブジェクトを選択出来なくします","Can't select the selected object"
"選択不可に","Selection"
"非選択物の選択を制限","Limit the selection of non-selection"
"選択物以外のオブジェクトを選択出来なくします","Cannot select object other than a selection of"
"選択不可に","Selection"
"すべての選択制限をクリア","Clears all selected limits"
"全てのオブジェクトの選択不可設定を解除します(逆も可)","Removes all non-select settings (vice versa)"
"選択不可に","Selection"
"頂点グループの転送","Transport for vertex group"
"アクティブなメッシュに他の選択メッシュの頂点グループを転送します","Transfers to other selected mesh vertex group active mesh"
"最初に頂点グループ全削除","Delete all vertex groups first"
"頂点グループのクリーン","Clean of the vertex groups"
"割り当ての無い頂点グループ削除","No assignment of vertex group delete"
"メッシュオブジェクトがアクティブな状態で実行して下さい","Please run the mesh object is active"
"メッシュオブジェクトを2つ以上選択した状態で実行して下さい","Please run the selected mesh object to two or more"
"厚み付けモディファイアで輪郭線生成","Contour line generation in thickness with modifiers"
"選択オブジェクトに「厚み付けモディファイア」による輪郭描画を追加します","Add to thicken modiﬁ contour drawing selection"
"レンダリングにも適用","Apply the rendering"
"輪郭線の厚さ","Thickness of contour lines"
"線の色","Color of the line"
"ふちに面を張る","Put the faces to the edge"
"「裏面を非表示」をオン","Select to hide on the back"
"はメッシュオブジェクトではないので無視します","The mesh object the ignored"
"1つ以上のメッシュオブジェクトを選択した状態で実行して下さい","Please run the selected mesh object for one or more"
"にマテリアルが割り当てられていないので無視します","To ignore because it does not have a material"
"の輪郭線","The contour line"
"輪郭線","Contour lines"
"オブジェクトカラー有効 + 色設定","Enable object color + color"
"選択オブジェクトのオブジェクトカラーを有効にし、色を設定します","Object color of the selected object and sets the color,"
"カラー","Color"
"ランダムな色を使う","Use random colors"
"オブジェクトカラー無効 + 色設定","Object color off + color"
"選択オブジェクトのオブジェクトカラーを無効にし、色を設定します","To disable the object color of the selected object, sets the color"
"色を設定する","To set the color"
"カラー","Color"
"メッシュの変形を真似するアーマチュアを作成","Creating an armature to mimic a mesh deformation"
"アクティブメッシュオブジェクトの変形に追従するアーマチュアを新規作成します","Create a new armature to follow the active mesh objects"
